0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:15 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:15 +0900] "GET /Web_project29/recipefolder/%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5.jpg HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:15 +0900] "GET /Web_project29/recipefolder/%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:15 +0900] "GET /Web_project29/recipefolder/%EB%90%9C%EC%9E%A5%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:15 +0900] "GET /Web_project29/recipefolder/null HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:15 +0900] "GET /Web_project29/recipefolder/%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5.jpg HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:18 +0900] "GET /Web_project29/notice-list.jsp HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:18 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:18 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:21 +0900] "GET /Web_project29/notice-insert.jsp HTTP/1.1" 200 2308
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:21 +0900] "GET /Web_project29/board-insert1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:21 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:21 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:27 +0900] "POST /Web_project29/notice-insert-db.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:28 +0900] "GET /Web_project29/notice-list.jsp HTTP/1.1" 200 5721
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:28 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:28 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:31 +0900] "GET /Web_project29/notice-read.jsp?ref=26 HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:31 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:31 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:31 +0900] "GET /Web_project29/image/ball.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:31 +0900] "GET /Web_project29/image/ball.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:56 +0900] "GET /Web_project29/my-info.jsp HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:43:56 +0900] "GET /Web_project29/mypage.css HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:05 +0900] "GET /Web_project29/recipe-ranking.jsp HTTP/1.1" 200 5651
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:05 +0900] "GET /Web_project29/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:05 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:05 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:05 +0900] "GET /Web_project29/mainpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/logout.jsp HTTP/1.1" 302 -
